ID,CEFR
AR_gpt-4o_1_1_1,A1
AR_gpt-4o_1_1_2,A1
AR_gpt-4o_1_1_3,A1
AR_gpt-4o_1_1_4,A1
AR_gpt-4o_1_1_5,A1
AR_gpt-4o_1_1_6,A1
AR_gpt-4o_1_1_7,A1
AR_gpt-4o_1_1_8,A1
AR_gpt-4o_1_1_9,A1
AR_gpt-4o_1_1_10,A1
AR_gpt-4o_1_1_11,A2
AR_gpt-4o_1_1_12,A2
AR_gpt-4o_1_1_13,A2
AR_gpt-4o_1_1_14,A2
AR_gpt-4o_1_1_15,A2
AR_gpt-4o_1_1_16,A2
AR_gpt-4o_1_1_17,A2
AR_gpt-4o_1_1_18,A2
AR_gpt-4o_1_1_19,A2
AR_gpt-4o_1_1_20,A2
AR_gpt-4o_1_2_21,A1
AR_gpt-4o_1_2_22,A1
AR_gpt-4o_1_2_23,A1
AR_gpt-4o_1_2_24,A1
AR_gpt-4o_1_2_25,A1
AR_gpt-4o_1_2_26,A1
AR_gpt-4o_1_2_27,A1
AR_gpt-4o_1_2_28,A1
AR_gpt-4o_1_2_29,A1
AR_gpt-4o_1_2_30,A1
AR_gpt-4o_1_2_31,A2
AR_gpt-4o_1_2_32,A2
AR_gpt-4o_1_2_33,A2
AR_gpt-4o_1_2_34,A2
AR_gpt-4o_1_2_35,A2
AR_gpt-4o_1_2_36,A2
AR_gpt-4o_1_2_37,A2
AR_gpt-4o_1_2_38,A2
AR_gpt-4o_1_2_39,A2
AR_gpt-4o_1_2_40,A2
AR_gpt-4o_2_3_41,A1
AR_gpt-4o_2_3_42,A1
AR_gpt-4o_2_3_43,A1
AR_gpt-4o_2_3_44,A1
AR_gpt-4o_2_3_45,A1
AR_gpt-4o_2_3_46,A1
AR_gpt-4o_2_3_47,A1
AR_gpt-4o_2_3_48,A1
AR_gpt-4o_2_3_49,A1
AR_gpt-4o_2_3_50,A1
AR_gpt-4o_2_3_51,A2
AR_gpt-4o_2_3_52,A2
AR_gpt-4o_2_3_53,A2
AR_gpt-4o_2_3_54,A2
AR_gpt-4o_2_3_55,A2
AR_gpt-4o_2_3_56,A2
AR_gpt-4o_2_3_57,A2
AR_gpt-4o_2_3_58,A2
AR_gpt-4o_2_3_59,A2
AR_gpt-4o_2_3_60,A2
AR_gpt-4o_1_4_61,A1
AR_gpt-4o_1_4_62,A1
AR_gpt-4o_1_4_63,A1
AR_gpt-4o_1_4_64,A1
AR_gpt-4o_1_4_65,A1
AR_gpt-4o_1_4_66,A1
AR_gpt-4o_1_4_67,A1
AR_gpt-4o_1_4_68,A1
AR_gpt-4o_1_4_69,A1
AR_gpt-4o_1_4_70,A1
AR_gpt-4o_1_4_71,A2
AR_gpt-4o_1_4_72,A2
AR_gpt-4o_1_4_73,A2
AR_gpt-4o_1_4_74,A2
AR_gpt-4o_1_4_75,A2
AR_gpt-4o_1_4_76,A2
AR_gpt-4o_1_4_77,A2
AR_gpt-4o_1_4_78,A2
AR_gpt-4o_1_4_79,A2
AR_gpt-4o_1_4_80,A2
AR_gpt-4o_3_5_81,A1
AR_gpt-4o_3_5_82,A1
AR_gpt-4o_3_5_83,A1
AR_gpt-4o_3_5_84,A1
AR_gpt-4o_3_5_85,A1
AR_gpt-4o_3_5_86,A1
AR_gpt-4o_3_5_87,A1
AR_gpt-4o_3_5_88,A1
AR_gpt-4o_3_5_89,A1
AR_gpt-4o_3_5_90,A1
AR_gpt-4o_3_5_91,A2
AR_gpt-4o_3_5_92,A2
AR_gpt-4o_3_5_93,A2
AR_gpt-4o_3_5_94,A2
AR_gpt-4o_3_5_95,A2
AR_gpt-4o_3_5_96,A2
AR_gpt-4o_3_5_97,A2
AR_gpt-4o_3_5_98,A2
AR_gpt-4o_3_5_99,A2
AR_gpt-4o_3_5_100,A2
AR_gpt-4o_2_6_101,A1
AR_gpt-4o_2_6_102,A1
AR_gpt-4o_2_6_103,A1
AR_gpt-4o_2_6_104,A1
AR_gpt-4o_2_6_105,A1
AR_gpt-4o_2_6_106,A1
AR_gpt-4o_2_6_107,A1
AR_gpt-4o_2_6_108,A1
AR_gpt-4o_2_6_109,A1
AR_gpt-4o_2_6_110,A1
AR_gpt-4o_2_6_111,A2
AR_gpt-4o_2_6_112,A2
AR_gpt-4o_2_6_113,A2
AR_gpt-4o_2_6_114,A2
AR_gpt-4o_2_6_115,A2
AR_gpt-4o_2_6_116,A2
AR_gpt-4o_2_6_117,A2
AR_gpt-4o_2_6_118,A2
AR_gpt-4o_2_6_119,A2
AR_gpt-4o_2_6_120,A2
AR_gpt-4o_4_7_121,A1
AR_gpt-4o_4_7_122,A1
AR_gpt-4o_4_7_123,A1
AR_gpt-4o_4_7_124,A1
AR_gpt-4o_4_7_125,A1
AR_gpt-4o_4_7_126,A1
AR_gpt-4o_4_7_127,A1
AR_gpt-4o_4_7_128,A1
AR_gpt-4o_4_7_129,A1
AR_gpt-4o_4_7_130,A1
AR_gpt-4o_4_7_131,A2
AR_gpt-4o_4_7_132,A2
AR_gpt-4o_4_7_133,A2
AR_gpt-4o_4_7_134,A2
AR_gpt-4o_4_7_135,A2
AR_gpt-4o_4_7_136,A2
AR_gpt-4o_4_7_137,A2
AR_gpt-4o_4_7_138,A2
AR_gpt-4o_4_7_139,A2
AR_gpt-4o_4_7_140,A2
AR_gpt-4o_4_8_141,A1
AR_gpt-4o_4_8_142,A1
AR_gpt-4o_4_8_143,A1
AR_gpt-4o_4_8_144,A1
AR_gpt-4o_4_8_145,A1
AR_gpt-4o_4_8_146,A1
AR_gpt-4o_4_8_147,A1
AR_gpt-4o_4_8_148,A1
AR_gpt-4o_4_8_149,A1
AR_gpt-4o_4_8_150,A1
AR_gpt-4o_4_8_151,A2
AR_gpt-4o_4_8_152,A2
AR_gpt-4o_4_8_153,A2
AR_gpt-4o_4_8_154,A2
AR_gpt-4o_4_8_155,A2
AR_gpt-4o_4_8_156,A2
AR_gpt-4o_4_8_157,A2
AR_gpt-4o_4_8_158,A2
AR_gpt-4o_4_8_159,A2
AR_gpt-4o_4_8_160,A2
AR_gpt-4o_5_9_161,A1
AR_gpt-4o_5_9_162,A1
AR_gpt-4o_5_9_163,A1
AR_gpt-4o_5_9_164,A1
AR_gpt-4o_5_9_165,A1
AR_gpt-4o_5_9_166,A1
AR_gpt-4o_5_9_167,A1
AR_gpt-4o_5_9_168,A1
AR_gpt-4o_5_9_169,A1
AR_gpt-4o_5_9_170,A1
AR_gpt-4o_5_9_171,A2
AR_gpt-4o_5_9_172,A2
AR_gpt-4o_5_9_173,A2
AR_gpt-4o_5_9_174,A2
AR_gpt-4o_5_9_175,A2
AR_gpt-4o_5_9_176,A2
AR_gpt-4o_5_9_177,A2
AR_gpt-4o_5_9_178,A2
AR_gpt-4o_5_9_179,A2
AR_gpt-4o_5_9_180,A2
AR_gpt-4o_5_10_181,A1
AR_gpt-4o_5_10_182,A1
AR_gpt-4o_5_10_183,A1
AR_gpt-4o_5_10_184,A1
AR_gpt-4o_5_10_185,A1
AR_gpt-4o_5_10_186,A1
AR_gpt-4o_5_10_187,A1
AR_gpt-4o_5_10_188,A1
AR_gpt-4o_5_10_189,A1
AR_gpt-4o_5_10_190,A1
AR_gpt-4o_5_10_191,A2
AR_gpt-4o_5_10_192,A2
AR_gpt-4o_5_10_193,A2
AR_gpt-4o_5_10_194,A2
AR_gpt-4o_5_10_195,A2
AR_gpt-4o_5_10_196,A2
AR_gpt-4o_5_10_197,A2
AR_gpt-4o_5_10_198,A2
AR_gpt-4o_5_10_199,A2
AR_gpt-4o_5_10_200,A2
AR_gpt-4o_6_11_201,A1
AR_gpt-4o_6_11_202,A1
AR_gpt-4o_6_11_203,A1
AR_gpt-4o_6_11_204,A1
AR_gpt-4o_6_11_205,A1
AR_gpt-4o_6_11_206,A1
AR_gpt-4o_6_11_207,A1
AR_gpt-4o_6_11_208,A1
AR_gpt-4o_6_11_209,A1
AR_gpt-4o_6_11_210,A1
AR_gpt-4o_6_11_211,A2
AR_gpt-4o_6_11_212,A2
AR_gpt-4o_6_11_213,A2
AR_gpt-4o_6_11_214,A2
AR_gpt-4o_6_11_215,A2
AR_gpt-4o_6_11_216,A2
AR_gpt-4o_6_11_217,A2
AR_gpt-4o_6_11_218,A2
AR_gpt-4o_6_11_219,A2
AR_gpt-4o_6_11_220,A2
AR_gpt-4o_6_12_221,A1
AR_gpt-4o_6_12_222,A1
AR_gpt-4o_6_12_223,A1
AR_gpt-4o_6_12_224,A1
AR_gpt-4o_6_12_225,A1
AR_gpt-4o_6_12_226,A1
AR_gpt-4o_6_12_227,A1
AR_gpt-4o_6_12_228,A1
AR_gpt-4o_6_12_229,A1
AR_gpt-4o_6_12_230,A1
AR_gpt-4o_6_12_231,A2
AR_gpt-4o_6_12_232,A2
AR_gpt-4o_6_12_233,A2
AR_gpt-4o_6_12_234,A2
AR_gpt-4o_6_12_235,A2
AR_gpt-4o_6_12_236,A2
AR_gpt-4o_6_12_237,A2
AR_gpt-4o_6_12_238,A2
AR_gpt-4o_6_12_239,A2
AR_gpt-4o_6_12_240,A2
AR_gpt-4o_7_13_241,A1
AR_gpt-4o_7_13_242,A1
AR_gpt-4o_7_13_243,A1
AR_gpt-4o_7_13_244,A1
AR_gpt-4o_7_13_245,A1
AR_gpt-4o_7_13_246,A1
AR_gpt-4o_7_13_247,A1
AR_gpt-4o_7_13_248,A1
AR_gpt-4o_7_13_249,A1
AR_gpt-4o_7_13_250,A1
AR_gpt-4o_7_13_251,A2
AR_gpt-4o_7_13_252,A2
AR_gpt-4o_7_13_253,A2
AR_gpt-4o_7_13_254,A2
AR_gpt-4o_7_13_255,A2
AR_gpt-4o_7_13_256,A2
AR_gpt-4o_7_13_257,A2
AR_gpt-4o_7_13_258,A2
AR_gpt-4o_7_13_259,A2
AR_gpt-4o_7_13_260,A2
AR_gpt-4o_7_14_261,A1
AR_gpt-4o_7_14_262,A1
AR_gpt-4o_7_14_263,A1
AR_gpt-4o_7_14_264,A1
AR_gpt-4o_7_14_265,A1
AR_gpt-4o_7_14_266,A1
AR_gpt-4o_7_14_267,A1
AR_gpt-4o_7_14_268,A1
AR_gpt-4o_7_14_269,A1
AR_gpt-4o_7_14_270,A1
AR_gpt-4o_7_14_271,A2
AR_gpt-4o_7_14_272,A2
AR_gpt-4o_7_14_273,A2
AR_gpt-4o_7_14_274,A2
AR_gpt-4o_7_14_275,A2
AR_gpt-4o_7_14_276,A2
AR_gpt-4o_7_14_277,A2
AR_gpt-4o_7_14_278,A2
AR_gpt-4o_7_14_279,A2
AR_gpt-4o_7_14_280,A2
AR_gpt-4o_7_15_281,A1
AR_gpt-4o_7_15_282,A1
AR_gpt-4o_7_15_283,A1
AR_gpt-4o_7_15_284,A1
AR_gpt-4o_7_15_285,A1
AR_gpt-4o_7_15_286,A1
AR_gpt-4o_7_15_287,A1
AR_gpt-4o_7_15_288,A1
AR_gpt-4o_7_15_289,A1
AR_gpt-4o_7_15_290,A1
AR_gpt-4o_7_15_291,A2
AR_gpt-4o_7_15_292,A2
AR_gpt-4o_7_15_293,A2
AR_gpt-4o_7_15_294,A2
AR_gpt-4o_7_15_295,A2
AR_gpt-4o_7_15_296,A2
AR_gpt-4o_7_15_297,A2
AR_gpt-4o_7_15_298,A2
AR_gpt-4o_7_15_299,A2
AR_gpt-4o_7_15_300,A2
AR_gpt-4o_8_16_301,A1
AR_gpt-4o_8_16_302,A1
AR_gpt-4o_8_16_303,A1
AR_gpt-4o_8_16_304,A1
AR_gpt-4o_8_16_305,A1
AR_gpt-4o_8_16_306,A1
AR_gpt-4o_8_16_307,A1
AR_gpt-4o_8_16_308,A1
AR_gpt-4o_8_16_309,A1
