essay_id,depth_mean,depth_max,depth_list,breadth_mean,breadth_max,breadth_list,total_nodes_mean,total_nodes_max,total_nodes_list,max_branching_factor_mean,max_branching_factor_max,max_branching_factor_list,CEFR
AR_gpt-4o_10_130_2581,10.583333333333334,17,"8,17,10,7,12,9,12,10,8,10,13,11",5.333333333333333,7,"6,4,5,5,7,5,6,7,5,4,5,5",23.833333333333332,33,"17,29,23,20,33,22,24,32,21,17,29,19",5.25,7,"6,3,5,5,7,5,6,7,5,4,5,5",C1
AR_gpt-4o_10_130_2582,9.411764705882353,15,"10,12,10,8,8,9,10,9,10,7,8,11,6,15,8,11,8",5.0588235294117645,8,"6,3,6,5,5,3,6,6,8,5,5,4,6,5,5,5,3",20.58823529411765,32,"23,24,23,17,28,14,19,23,32,11,19,23,13,27,15,23,16",4.9411764705882355,8,"6,3,6,5,5,3,6,6,8,5,3,4,6,5,5,5,3",C1
AR_gpt-4o_10_130_2583,10.307692307692308,16,"8,16,10,8,7,10,9,7,11,14,9,10,15",5.3076923076923075,8,"6,5,7,4,7,3,8,4,6,6,4,4,5",23.615384615384617,36,"18,32,25,13,25,22,31,13,26,36,18,18,30",5.3076923076923075,8,"6,5,7,4,7,3,8,4,6,6,4,4,5",C1
AR_gpt-4o_10_130_2584,10.866666666666667,17,"15,11,8,6,14,9,14,14,9,10,11,17,8,8,9",5.133333333333334,7,"6,4,3,4,5,6,7,5,6,6,5,4,5,6,5",24.933333333333334,37,"37,21,13,16,32,23,32,33,23,31,21,30,14,22,26",4.866666666666666,7,"6,4,3,4,5,6,7,4,6,5,5,2,5,6,5",C1
AR_gpt-4o_10_130_2585,9.928571428571429,13,"10,12,10,13,12,6,12,8,7,8,12,7,10,12",5.285714285714286,7,"6,4,7,6,6,6,4,3,5,6,7,4,6,4",23.428571428571427,33,"23,25,25,29,33,15,24,15,16,24,32,13,32,22",5.285714285714286,7,"6,4,7,6,6,6,4,3,5,6,7,4,6,4",C1
AR_gpt-4o_10_130_2586,10.4,15,"10,10,7,12,7,10,11,7,9,13,10,14,11,10,15",5.333333333333333,8,"6,5,7,4,6,6,4,5,8,3,7,5,5,5,4",23.6,32,"22,31,25,23,17,23,18,13,29,25,27,32,18,27,24",5.266666666666667,8,"6,5,7,4,6,6,4,5,8,3,7,4,5,5,4",C1
AR_gpt-4o_10_130_2587,9.538461538461538,15,"11,9,9,7,9,10,7,9,15,9,10,10,9",5.6923076923076925,9,"6,5,5,4,4,9,5,6,7,4,7,7,5",24.923076923076923,35,"22,27,25,17,21,35,15,23,31,20,31,27,30",5.230769230769231,9,"6,5,5,3,4,9,5,4,7,4,7,6,3",C1
AR_gpt-4o_10_130_2588,10.916666666666666,15,"8,13,12,13,9,9,10,15,9,8,14,11",6.0,9,"4,5,7,9,6,6,8,3,8,4,7,5",27.583333333333332,36,"19,31,31,36,20,29,31,27,31,21,30,25",6.0,9,"4,5,7,9,6,6,8,3,8,4,7,5",C1
AR_gpt-4o_10_130_2589,9.666666666666666,14,"7,14,7,6,8,12,8,11,11,5,11,10,10,11,14",5.4,8,"6,5,5,4,8,8,5,3,6,6,6,5,4,6,4",22.6,37,"21,37,12,17,25,29,17,17,29,14,24,25,18,32,22",5.333333333333333,8,"6,5,5,4,7,8,5,3,6,6,6,5,4,6,4",C1
AR_gpt-4o_10_130_2590,9.266666666666667,12,"10,12,7,11,7,9,7,10,8,7,11,11,10,10,9",5.466666666666667,8,"6,5,5,7,6,5,5,5,8,5,5,4,4,6,6",22.733333333333334,32,"21,30,17,30,20,32,15,24,25,12,21,23,17,31,23",5.333333333333333,8,"6,5,5,7,6,4,5,5,8,5,5,4,4,5,6",C1
AR_gpt-4o_10_130_2591,10.909090909090908,13,"10,10,12,13,13,8,10,12,10,9,13",6.0,9,"6,4,4,6,5,5,7,5,7,8,9",28.727272727272727,39,"24,20,25,37,34,16,33,20,39,29,39",5.818181818181818,9,"6,3,4,5,5,5,7,5,7,8,9",C2
AR_gpt-4o_10_130_2592,10.9375,16,"10,16,14,9,13,6,9,15,6,12,11,11,11,8,11,13",5.3125,7,"6,3,5,5,5,5,6,4,4,6,7,6,5,6,7,5",22.75,34,"21,22,23,21,29,14,26,24,10,30,22,25,34,16,22,25",5.1875,7,"6,3,5,5,4,5,6,4,4,6,7,6,4,6,7,5",C2
AR_gpt-4o_10_130_2593,10.411764705882353,18,"18,10,7,9,8,10,15,8,10,6,7,15,8,10,12,11,13",5.352941176470588,7,"6,5,5,6,7,7,4,4,6,5,5,4,4,6,5,6,6",25.176470588235293,37,"37,25,20,25,21,37,27,17,33,15,15,29,12,35,23,25,32",5.294117647058823,7,"6,5,5,5,7,7,4,4,6,5,5,4,4,6,5,6,6",C2
