Document_ID,sentences,avg_syllables_per_word,max_syllables,avg_unique_lemmas,avg_unique_lemma_pos,avg_camel_tokens,CEFR
AR-030-268469,11,2.425320021910931,5.0,12.727272727272727,12.727272727272727,15.454545454545455,B1
AR-030-386369,9,2.4676710294254156,5.0,15.0,15.0,18.333333333333332,B2
AR-030-81027,2,2.2976190476190474,4.0,13.5,13.5,17.5,A2
AR-030-81757,10,2.319739739515954,5.0,18.7,18.7,22.9,B2
AR-030-83625,1,2.571428571428572,5.0,7.0,7.0,8.0,
AR-030-85891,2,2.3311111111111114,6.0,17.0,17.0,18.0,A2
AR-030-87953,4,2.1635778635778635,5.0,29.5,29.75,41.0,B1
AR-030-89249,2,2.226608187134503,5.0,35.5,35.5,50.5,B1
AR-030-89881,3,2.6090314913844326,4.0,12.666666666666666,12.666666666666666,14.333333333333334,B1
AR-030-90528,6,2.248729898439201,6.0,21.166666666666668,21.166666666666668,27.833333333333332,A2
AR-030-92524,10,2.414045977011494,6.0,14.2,14.2,17.5,B1
AR-030-92800,4,2.1006944444444446,4.0,11.75,11.75,14.0,B1
AR-030-93360,6,2.0813360126659357,5.0,26.166666666666668,26.5,36.5,B2
AR-030-96339,5,2.441330987042073,5.0,23.4,23.4,28.2,B1
AR-030-96683,9,2.302784739626845,6.0,14.222222222222221,14.222222222222221,17.11111111111111,B1
AR-030-97791,6,2.4057875823992765,6.0,18.0,18.0,22.666666666666668,B1
AR-130-119813,3,2.6437728937728937,4.0,11.666666666666666,11.666666666666666,12.666666666666666,A2
AR-130-119831,2,1.9395833333333334,5.0,13.0,13.0,18.5,
AR-130-121991965,5,2.3016666666666667,5.0,16.2,16.2,21.8,B1
AR-130-165859,6,2.211935021500239,5.0,13.5,13.5,15.833333333333334,B2
AR-130-165949,6,2.2464268588881593,5.0,19.666666666666668,19.666666666666668,24.5,B1
AR-130-168718,9,2.3950563325563325,6.0,17.444444444444443,17.444444444444443,20.555555555555557,B2
AR-130-186196,8,2.26364283361566,5.0,18.75,18.75,23.375,B1
AR-130-187968,9,2.298047944696636,6.0,19.88888888888889,19.88888888888889,26.444444444444443,B1
AR-130-188359,4,1.9507575757575757,4.0,10.0,10.0,11.75,B1
AR-130-188826,3,2.2347418177982963,5.0,45.666666666666664,45.666666666666664,56.333333333333336,B2
AR-130-188847,1,2.4571428571428573,5.0,52.0,52.0,73.0,B1
AR-130-188945,5,2.1259259259259258,5.0,15.8,15.8,19.8,A2
AR-130-189349,8,2.3234864562432476,5.0,21.875,21.875,26.125,B2
AR-130-189525,5,2.2904612492770386,5.0,15.4,15.4,18.8,B1
AR-130-189611,7,2.24750055201183,5.0,21.0,21.0,26.428571428571427,B1
AR-130-189750,5,2.2631595727721985,5.0,26.4,26.4,33.8,B1
AR-130-189799,3,2.1005008505008504,6.0,37.666666666666664,38.333333333333336,57.666666666666664,B1
AR-130-189921,5,2.3245143745143744,4.0,18.2,18.2,24.0,B1
AR-130-190122,5,2.2513795171689908,4.0,19.2,19.4,23.4,B1
AR-130-190307,6,2.4514581026208933,5.0,19.5,19.5,27.166666666666668,B1
AR-130-190317,6,1.9984718984718988,6.0,19.833333333333332,19.833333333333332,27.0,B1
AR-130-190447,5,2.3604141804141805,6.0,30.2,30.2,37.4,C1
AR-130-190745,3,2.144536621484806,4.0,24.0,24.0,32.666666666666664,B1
AR-130-190808,6,2.3484660267268964,5.0,20.666666666666668,20.666666666666668,25.5,B1
AR-130-190855,8,2.324015969410706,5.0,16.125,16.125,18.625,B2
AR-130-190863,6,2.3465994623655915,6.0,18.333333333333332,18.333333333333332,22.5,B1
AR-130-191075,4,2.3061355311355314,5.0,14.25,14.25,17.25,B1
AR-130-191088,4,2.4526783082817567,6.0,18.5,18.5,22.0,B1
AR-130-191115,8,2.190164636088549,5.0,18.125,18.125,23.5,B1
AR-130-191242,6,2.545546594982079,5.0,16.166666666666668,16.166666666666668,19.0,B2
AR-130-191743,10,2.4039093128509608,5.0,17.9,17.9,22.1,B1
AR-130-191794,8,2.2892376660695626,5.0,17.75,17.75,21.0,B2
AR-130-191809,7,2.214626327389301,6.0,16.857142857142858,16.857142857142858,21.0,B1
AR-130-191850,10,2.1736220642102997,6.0,13.6,13.6,16.0,B1
AR-130-192155,5,2.262993487993488,5.0,17.2,17.4,21.2,B1
AR-130-192218,5,2.2417249417249416,5.0,21.0,21.0,25.8,B1
AR-130-192387,2,2.3641304347826084,5.0,29.0,29.0,41.0,B1
AR-130-192490,5,2.3614202178718307,6.0,25.4,25.4,32.6,B2
AR-130-192528,7,2.2504440004440007,5.0,17.142857142857142,17.142857142857142,21.142857142857142,B1
AR-130-192582,1,2.5526315789473686,5.0,29.0,29.0,42.0,B1
AR-130-192654,5,2.2492693686242076,5.0,24.4,24.4,28.6,B2
AR-130-192696,8,2.338124437696806,5.0,17.375,17.375,20.5,B1
AR-130-192707,7,2.3728105228105227,6.0,19.0,19.0,23.0,B2
AR-130-192747,7,2.4048469387755103,6.0,18.714285714285715,18.714285714285715,22.428571428571427,B1
AR-130-192751,6,2.223931936208151,6.0,15.0,15.166666666666666,17.166666666666668,B1
AR-130-192885,8,2.302102272727273,4.0,14.5,14.5,17.375,B1
AR-130-192922,2,2.3044871794871797,5.0,42.0,42.0,53.0,B1
AR-130-192949,4,2.252267156862745,5.0,25.0,25.0,31.75,B1
AR-130-193363,4,2.2614263699790014,5.0,21.25,21.25,27.25,B1
AR-130-193451,6,2.1341723464014484,4.0,14.666666666666666,14.666666666666666,20.5,B1
AR-130-193838,2,2.14010989010989,4.0,29.5,29.5,45.5,B1
AR-130-194708,1,2.3225806451612905,5.0,23.0,23.0,33.0,B1
AR-130-194718,11,2.281814830224441,6.0,18.181818181818183,18.181818181818183,22.363636363636363,B2
AR-130-195100,8,2.4577576515556054,5.0,15.625,15.625,19.375,B1
AR-130-19632,6,2.2152769866585658,5.0,11.5,11.5,14.666666666666666,B1
AR-130-197835,12,2.4198326168640674,6.0,24.333333333333332,24.416666666666668,30.833333333333332,B2
AR-130-197898,4,2.39366452991453,6.0,23.0,23.0,28.25,B2
AR-130-198249,6,2.1051809838906617,5.0,21.5,21.5,29.666666666666668,B2
AR-130-19883,8,2.1893965919701213,5.0,17.25,17.25,20.875,B1
AR-130-199101,12,2.1811739871818454,6.0,18.5,18.5,22.916666666666668,B2
AR-130-19921,8,2.22696365181348,6.0,19.5,19.5,23.5,B1
AR-130-199634,7,2.4724945064022505,6.0,20.571428571428573,20.571428571428573,26.857142857142858,B2
AR-130-199747,8,2.3308452362051435,6.0,20.25,20.25,24.5,B2
AR-130-199818,6,2.4890023602033406,5.0,16.666666666666668,16.666666666666668,18.5,B1
AR-130-287997,6,2.4814531277689174,5.0,14.666666666666666,14.666666666666666,18.0,B1
AR-130-288874,4,2.314709595959596,5.0,14.75,14.75,18.5,B2
AR-130-289073,3,2.12004662004662,5.0,18.0,18.0,23.333333333333332,B1
AR-130-289115,1,2.1142857142857143,5.0,27.0,27.0,40.0,A2
AR-130-289903,4,2.530483405483406,4.0,15.0,15.0,21.0,B1
AR-130-292703,1,3.0,4.0,5.0,5.0,6.0,
AR-130-294255,9,2.2544218413929453,6.0,17.555555555555557,17.555555555555557,22.333333333333332,B1
AR-130-68830,4,2.0032350948509485,4.0,17.75,17.75,23.0,B1
AR-130-80566,8,2.49513108580446,7.0,16.375,16.375,19.0,B2
AR-130-80816,2,2.249238675295013,5.0,54.5,55.0,79.0,B1
AR-130-80823,7,2.3216416963785385,6.0,21.857142857142858,21.857142857142858,25.285714285714285,B2
AR-130-81303,8,2.2835540459462873,6.0,18.375,18.375,22.5,B1
AR-130-81425,7,2.332385075242218,5.0,10.857142857142858,10.857142857142858,13.0,B1
AR-130-81723,10,2.3093245535066633,5.0,21.3,21.4,27.2,B2
AR-130-81912,2,1.9583333333333335,5.0,9.5,9.5,11.0,
AR-130-81924,8,2.3101785714285716,4.0,16.625,16.875,22.125,B2
AR-130-81952,12,2.182149564457917,6.0,16.083333333333332,16.083333333333332,18.833333333333332,B2
AR-130-81953,7,2.3025430234789845,5.0,16.571428571428573,16.571428571428573,20.857142857142858,B2
AR-130-82310,11,2.1482261583517106,5.0,14.818181818181818,14.818181818181818,17.818181818181817,B1
AR-130-82421,6,2.09768223167346,5.0,23.333333333333332,23.333333333333332,28.666666666666668,B2
AR-130-82659,6,2.3126328611702798,5.0,15.5,15.5,19.333333333333332,B1
AR-130-82673,10,2.0469094985474294,5.0,15.4,15.4,17.9,B1
AR-130-82789,5,2.434078640657588,5.0,18.4,18.6,21.4,B2
AR-130-83139,5,2.243333333333333,4.0,15.6,15.8,19.6,B1
AR-130-83165,7,2.514293712823125,5.0,18.428571428571427,18.428571428571427,21.428571428571427,B1
AR-130-83576,6,2.378945671499762,5.0,16.833333333333332,16.833333333333332,19.5,B1
AR-130-83847,2,2.0892857142857144,4.0,5.5,5.5,7.0,
AR-130-83934,5,2.1566188892408404,5.0,18.6,18.6,25.6,B1
AR-130-84014,9,2.370009939209024,5.0,17.11111111111111,17.11111111111111,22.11111111111111,B1
AR-130-84446,10,2.3334119827540882,5.0,18.1,18.1,22.0,B2
AR-130-84488,7,2.1882796303406655,6.0,19.428571428571427,19.428571428571427,23.285714285714285,B1
AR-130-84627,4,2.352969181785414,5.0,31.0,31.0,38.5,B2
AR-130-84660,5,2.1376863882172343,6.0,23.2,23.2,30.4,B1
AR-130-84687,2,2.545454545454546,5.0,15.5,15.5,18.0,B1
AR-130-84846,9,2.4094033543050966,5.0,16.77777777777778,16.77777777777778,19.333333333333332,B2
AR-130-85294,11,2.2912301502748402,5.0,20.636363636363637,20.636363636363637,24.636363636363637,C1
AR-130-85331,5,2.366563444257924,5.0,25.4,25.4,30.2,B2
AR-130-85466,9,2.1765172735760974,5.0,16.11111111111111,16.11111111111111,18.77777777777778,B1
AR-130-85828,2,1.8804143126177024,4.0,30.5,30.5,45.0,B1
AR-130-86032,10,2.417318524970964,7.0,22.2,22.2,29.6,B2
AR-130-86741,6,2.1584505772005773,5.0,17.333333333333332,17.333333333333332,20.666666666666668,B1
AR-130-86817,9,2.4204052921699977,6.0,23.555555555555557,23.555555555555557,28.555555555555557,B2
AR-130-87139,2,2.4416666666666664,4.0,12.5,12.5,14.5,A2
AR-130-87491,10,2.3724060201923978,6.0,18.9,18.9,22.6,B1
AR-130-87760,9,2.2252246820896704,6.0,18.333333333333332,18.333333333333332,21.555555555555557,C1
AR-130-88375,4,2.3616300675675674,5.0,22.5,22.5,28.5,B1
AR-130-88399,6,2.3178661616161613,6.0,13.166666666666666,13.166666666666666,16.0,B1
AR-130-88780,6,2.18969298245614,5.0,11.5,11.5,13.5,B2
AR-130-89064,12,2.299825657610745,7.0,16.583333333333332,16.583333333333332,19.5,B2
AR-130-89381,6,2.353940145733476,7.0,23.166666666666668,23.166666666666668,27.5,B2
AR-130-89391,7,2.2091836734693877,4.0,19.0,19.0,23.285714285714285,B2
AR-130-89415,2,3.3,6.0,6.5,6.5,8.0,
AR-130-89587,9,2.365431864745366,5.0,19.22222222222222,19.22222222222222,24.22222222222222,B1
AR-130-89591,9,2.278984374455389,5.0,13.0,13.0,16.22222222222222,B1
AR-130-89653,7,2.434994767137624,6.0,17.285714285714285,17.285714285714285,20.571428571428573,B1
AR-130-89674,6,2.263608776844071,5.0,17.5,17.5,20.833333333333332,B1
AR-130-89676,15,2.2812483356092748,5.0,19.666666666666668,19.666666666666668,23.466666666666665,B2
AR-130-89774,9,2.2387014544909283,5.0,16.11111111111111,16.11111111111111,19.333333333333332,B2
AR-130-90095,3,2.1908663664772026,5.0,23.0,23.0,26.0,B1
AR-130-90250,6,2.509480455132629,5.0,23.0,23.0,27.166666666666668,B2
AR-130-90308,5,2.4494627594627594,7.0,17.2,17.2,22.4,B1
AR-130-90411,10,2.3086634207577412,5.0,13.8,13.8,16.3,B2
AR-130-90530,11,2.2867319154717127,5.0,14.181818181818182,14.181818181818182,16.272727272727273,B2
AR-130-90626,5,2.3546580856874977,5.0,25.0,25.2,31.8,B1
AR-130-90783,10,2.1730171582803157,6.0,16.8,16.8,19.1,B2
AR-130-90813,10,2.2217044919857987,5.0,19.6,19.6,23.2,B1
AR-130-90873,10,2.238944267233741,5.0,15.4,15.4,19.6,B1
AR-130-91028,4,2.1081730769230766,4.0,16.5,16.5,21.0,B1
AR-130-91113,10,2.548259532939503,5.0,16.7,16.7,19.5,B2
AR-130-91241,6,2.1863941814077044,5.0,24.833333333333332,25.0,32.5,B2
AR-130-91256,19,2.317316846900316,5.0,13.526315789473685,13.526315789473685,17.210526315789473,B1
AR-130-91347,9,2.2164727176136916,4.0,16.333333333333332,16.333333333333332,19.444444444444443,B2
AR-130-91705,5,2.317107372010589,5.0,23.4,23.4,30.2,B2
AR-130-92103,4,2.4126741917502788,5.0,20.5,20.5,27.0,B1
AR-130-92132,5,2.105542605542605,5.0,24.2,24.2,31.0,B2
AR-130-92245,10,2.3774940266704974,5.0,15.3,15.3,20.0,B1
AR-130-92581,9,2.330507165048228,5.0,15.333333333333334,15.333333333333334,18.444444444444443,B1
AR-130-92771,3,2.394141414141414,5.0,30.0,30.0,35.333333333333336,B1
AR-130-92844,6,2.1964767688451903,6.0,19.666666666666668,19.666666666666668,22.333333333333332,B2
AR-130-92874,4,2.171986490520973,5.0,23.25,23.25,28.25,B1
AR-130-92903,7,2.2602460490659246,5.0,20.0,20.0,25.714285714285715,B1
AR-130-92956,11,2.418053913202655,5.0,18.545454545454547,18.545454545454547,21.90909090909091,C1
AR-130-92988,6,2.2196514078307557,5.0,28.5,28.5,37.333333333333336,B1
AR-130-93034,8,2.3214285714285716,5.0,20.625,20.625,25.5,B1
AR-130-93037,8,2.327274959011722,6.0,22.125,22.125,26.75,B2
AR-130-93285,5,2.6325616412572934,6.0,11.4,11.4,18.2,B1
AR-130-93459,6,2.1236730311761938,5.0,23.833333333333332,23.833333333333332,30.333333333333332,B1
AR-130-93749,6,2.3171333003319714,6.0,20.333333333333332,20.5,24.333333333333332,B2
AR-130-94052,8,2.255705933318067,6.0,27.375,27.625,36.75,B1
AR-130-94320,7,2.4163720023818547,6.0,23.857142857142858,23.857142857142858,31.0,B2
AR-130-94968,10,2.2358998341351284,6.0,18.3,18.4,21.8,B1
AR-130-94976,11,2.4815133263749867,5.0,18.272727272727273,18.272727272727273,23.09090909090909,C1
AR-130-95365,15,2.4759651692439415,5.0,16.2,16.2,19.8,B2
AR-130-95601,11,2.2344536422993873,5.0,23.09090909090909,23.09090909090909,27.181818181818183,B2
AR-130-95626,5,2.221805254732084,6.0,36.8,37.2,56.0,C1
AR-130-95796,12,2.081574575116242,6.0,16.0,16.0,20.5,C1
