Document_ID,CEFR,word_count,text,d3tok,readability_levels,max_level,avg_level
AR-030-268469,B1,156,وسائل التواصل الاجتماعي لها أضرار وفوائد كثيرة. ولكن بان في الآونة الأخيرة أن مضارها أكبر بكثير من منافعها. فإذا نشأ الطفل وبيده هاتف أو جهاز إلكتروني ستلاحظ عدم قدرته على الاستجابة بسرعة. وأيضا سوف تلاحظ عدم قدرته على التركيز. ومضار التواصل الاجتماعي لم تكتف بالأطفال والمراهقين فقط بل بجميع الفئات العمرية. فكم من شخص قد رحل من هذه الدنيا بسبب حادث سيارة، وسببه الهاتف المتحرك ليتفقد الشخص صفحة على مواقع التواصل الاجتماعي. أيضا مقارنة بمجالس الشباب سابقا قبل ظهور مواقع التواصل، لرأيت شبابا يضحكون مع بعضهم أو لربما يلعبون لعبة ما، أما الآن فترى شبابا جالسين جنبهم الجنب ولا يتكلمون مع بعضهم البعض وتراهم جميعا على مواقع التواصل الاجتماعي. التواصل الاجتماعي أثر كثيرا على عاداتنا كبشر وكمجتمع. وترى أيضا امرأة إما مشغولة عن أبنائها بالتواصل الاجتماعي أو موظفا مشغولا بهاتفه أثناء أوقات الدوام. مواقع التواصل الاجتماعي كسيف ذي حدين ولكن أصبحت مضارها أكثر من منافعها. أصبحت تميل إلى نوع من أنواع الإدمان الذي يجب الحذر منه.,"[""وسائل ال+ تواصل ال+ اجتماعي ل +ها أضرار و+ فوائد كثيرة ."", ""و+ لكن بان في ال+ آونة ال+ أخيرة أن مضار +ها أكبر ب+ كثير من منافع +ها ."", ""ف+ إذا نشأ ال+ طفل و+ ب+ يد +ه هاتف أو جهاز إلكتروني س+ تلاحظ عدم قدرة +ه على ال+ استجابة ب+ سرعة ."", ""و+ أيضا سوف تلاحظ عدم قدرة +ه على ال+ تركيز ."", ""و+ مضار ال+ تواصل ال+ اجتماعي لم تكتف ب+ ال+ أطفال و+ ال+ مراهقين فقط بل ب+ جميع ال+ فئات ال+ عمرية ."", ""ف+ كم من شخص قد رحل من هذه ال+ دنيا ب+ سبب حادث سيارة , و+ سبب +ه ال+ هاتف ال+ متحرك ل+ يتفقد ال+ شخص صفحة على مواقع ال+ تواصل ال+ اجتماعي ."", ""أيضا مقارنة ب+ مجالس ال+ شباب سابقا قبل ظهور مواقع ال+ تواصل , ل+ رأيت شبابا يضحكون مع بعض +هم أو ل+ ربما يلعبون لعبة ما , أما ال+ آن ف+ ترى شبابا جالسين جنب +هم ال+ جنب و+ لا يتكلمون مع بعض +هم ال+ بعض و+ ترى +هم جميعا على مواقع ال+ تواصل ال+ اجتماعي ."", ""ال+ تواصل ال+ اجتماعي أثر كثيرا على عادات +نا ك+ بشر و+ ك+ مجتمع ."", ""و+ ترى أيضا امرأة إما مشغولة عن أبناء +ها ب+ ال+ تواصل ال+ اجتماعي أو موظفا مشغولا ب+ هاتف +ه أثناء أوقات ال+ دوام ."", ""مواقع ال+ تواصل ال+ اجتماعي ك+ سيف ذي حدين و+ لكن أصبحت مضار +ها أكثر من منافع +ها ."", ""أصبحت تميل إلى نوع من أنواع ال+ إدمان الذي يجب ال+ حذر من +ه .""]","[7, 10, 13, 8, 12, 11, 12, 12, 10, 12, 10]",13,10.636363636363637
AR-030-386369,B2,154,تعد وسائل التواصل الاجتماعي من أكبر المؤثرات على الفرد في مجتمعنا الحالي، وذلك بسبب إدمان الفرد على استخدامها بشكل متواصل ويومي. تتنوع المؤثرات - منها الإيجابية والسلبية - على الأفراد في دولتنا. الإيجابية منها سرعة التواصل وسهولته وتنوعه كالرسائل الفورية والصوتية والتواصل المرئي والصوتي. أيضا يمكن للفائدة أن تشمل الناس عامة في وظائفهم من خلال تمكنهم من استخدام البريد الإلكتروني والاجتماعات من خلال هذه الوسائل. ومن السلبيات التي تنتج من وسائل التواصل الاجتماعي الابتزاز الإلكتروني وهي ظاهرة منتشرة في الآونة الأخيرة، وغير ذلك إضاعة الوقت الذي يمكن استثماره بفائدة أخرى. ومن أمثلة إضاعة الوقت قضاء وقت العمل على وسائل التواصل الاجتماعي لإضاعته. ومن مؤثرات الوسائل على المجتمع أن تنتشر الإشاعات التي تولد وتزيد من المشاكل ومنها المشاكل الأسرية والاجتماعية والسياسية وغيرها. وعلى سبيل التأثير الإيجابي من الممكن أن تنتشر التوعية في بعض المجالات على المجتمع من خلال وسائل التواصل. أيضا من الممكن أن تنتشر بعض الثقافات الإيجابية على المجتمع من خلال وسائل التواصل كالقراءة.,"[""تعد وسائل ال+ تواصل ال+ اجتماعي من أكبر ال+ مؤثرات على ال+ فرد في مجتمع +نا ال+ حالي , و+ ذلك ب+ سبب إدمان ال+ فرد على استخدام +ها ب+ شكل متواصل و+ يومي ."", ""تتنوع ال+ مؤثرات - من +ها ال+ إيجابية و+ ال+ سلبية - على ال+ أفراد في دولة +نا ."", ""ال+ إيجابية من +ها سرعة ال+ تواصل و+ سهولة +ه و+ تنوع +ه ك+ ال+ رسائل ال+ فورية و+ ال+ صوتية و+ ال+ تواصل ال+ مرئي و+ ال+ صوتي ."", ""أيضا يمكن ل+ ال+ فائدة أن تشمل ال+ ناس عامة في وظائف +هم من خلال تمكن +هم من استخدام ال+ بريد ال+ إلكتروني و+ ال+ اجتماعات من خلال هذه ال+ وسائل ."", ""و+ من ال+ سلبيات التي تنتج من وسائل ال+ تواصل ال+ اجتماعي ال+ ابتزاز ال+ إلكتروني و+ هي ظاهرة منتشرة في ال+ آونة ال+ أخيرة , و+ غير ذلك إضاعة ال+ وقت الذي يمكن استثمار +ه ب+ فائدة أخرى ."", ""و+ من أمثلة إضاعة ال+ وقت قضاء وقت ال+ عمل على وسائل ال+ تواصل ال+ اجتماعي ل+ إضاعة +ه ."", ""و+ من مؤثرات ال+ وسائل على ال+ مجتمع أن تنتشر ال+ إشاعات التي تولد و+ تزيد من ال+ مشاكل و+ من +ها ال+ مشاكل ال+ أسرية و+ ال+ اجتماعية و+ ال+ سياسية و+ غير +ها ."", ""و+ على سبيل ال+ تأثير ال+ إيجابي من ال+ ممكن أن تنتشر ال+ توعية في بعض ال+ مجالات على ال+ مجتمع من خلال وسائل ال+ تواصل ."", ""أيضا من ال+ ممكن أن تنتشر بعض ال+ ثقافات ال+ إيجابية على ال+ مجتمع من خلال وسائل ال+ تواصل ك+ ال+ قراءة .""]","[12, 12, 10, 12, 14, 10, 12, 11, 10]",14,11.444444444444445
AR-030-81027,A2,32,قام انتشار وسائل التواصل الاجتماعي بشكل كبير وهذا أثر على المجتمع بشكل إيجابي وسلبي. من الآثار الإيجابية للتواصل الاجتماعي التواصل مع الناس بشكل أسهل، ومن الآثار السلبية انتشار الكراهية والفساد بين الناس.,"[""قام انتشار وسائل ال+ تواصل ال+ اجتماعي ب+ شكل كبير و+ هذا أثر على ال+ مجتمع ب+ شكل إيجابي و+ سلبي ."", ""من ال+ آثار ال+ إيجابية ل+ ال+ تواصل ال+ اجتماعي ال+ تواصل مع ال+ ناس ب+ شكل أسهل , و+ من ال+ آثار ال+ سلبية انتشار ال+ كراهية و+ ال+ فساد بين ال+ ناس .""]","[10, 13]",13,11.5
AR-030-81757,B2,208,وسائل التواصل الاجتماعي لقد تطورت وسائل المعرفة والتقدم واجتاحت وسائل التواصل الاجتماعي منازلنا وحياتنا وأيضا مائدة طعامنا دون استئذان. فللأسف أصبحت فردا من العائلة، فردا غير مرحب به، ولكنه متواجد رغما عنا، فقد أصبح مسيطرا على خلايا أدمغتنا وحواسنا. لا أنكر أن هذا الفرد قرب لنا البعيد، ولكن مع ذلك أبعد القريب، وأصبحت الأخبار بوجوده تصلنا بعد ثوان من حدوثها حتى إن كانت من مشرق الأرض أو مغربها، فهو يجمع العالم كله في شاشة لامعة صغيرة. ولكن لنتحدث بكل أريحية وصراحة، مواقع التواصل الاجتماعي أصبحت عبارة عن أداة ذات حدين قد تدمر حياتك أو حياة أي شخص آخر بكبسة زر، وقد تشرق حياة أحدهم من ذات كبسة الزر تلك. ولكن هذا بالطبع يعتمد علينا نحن كأفراد على مدى سيطرة تلك الشاشات علينا. علينا عدم الاستسلام والعيش في عالم قد يزول بمجرد أن نطفئ الإنترنت، علينا مزاولة العيش في حياتنا الواقعية. ومع ذلك يجب علينا مواكبة التطور ولكن ليس للحد الذي يجعلنا ننسى من نحن أو من حولنا. وبالأخير لكل شيء مضار ومنافع وعلينا توخي الحذر وتوسيع مدارك أفكارنا وتحمل مسؤولية أفعالنا، فهي ستؤثر علينا وعلى عوائلنا ومجتمعنا. فلكم أن تتخيلوا مجتمعا كاملا يقتات في إحدى هذه الشاشات ويحيا بين كبسة زر وأخرى والإشاعات تجتاحه، بالطبع سيدمر من أساسه حتى آخره. وأخيرا مثلما قلت علينا توخي الحذر دائما وأبدا.,"[""وسائل ال+ تواصل ال+ اجتماعي ل+ قد تطورت وسائل ال+ معرفة و+ ال+ تقدم و+ اجتاحت وسائل ال+ تواصل ال+ اجتماعي منازل +نا و+ حياة +نا و+ أيضا مائدة طعام +نا دون استئذان ."", ""ف+ ل+ ال+ أسف أصبحت فردا من ال+ عائلة , فردا غير مرحب ب +ه , و+ لكن +ه متواجد رغما عن +نا , ف+ قد أصبح مسيطرا على خلايا أدمغة +نا و+ حواس +نا ."", ""لا أنكر أن هذا ال+ فرد قرب ل +نا ال+ بعيد , و+ لكن مع ذلك أبعد ال+ قريب , و+ أصبحت ال+ أخبار ب+ وجود +ه تصل +نا بعد ثوان من حدوث +ها حتى أن كانت من مشرق ال+ أرض أو مغرب +ها , ف+ هو يجمع ال+ عالم كل +ه في شاشة لامعة صغيرة ."", ""و+ لكن ل+ نتحدث ب+ كل أريحية و+ صراحة , مواقع ال+ تواصل ال+ اجتماعي أصبحت عبارة عن أداة ذات حدين قد تدمر حياة +ك أو حياة أي شخص آخر ب+ كبسة زر , و+ قد تشرق حياة أحد +هم من ذات كبسة ال+ زر تلك ."", ""و+ لكن هذا ب+ ال+ طبع يعتمد على +نا نحن ك+ أفراد على مدى سيطرة تلك ال+ شاشات على +نا ."", ""على +نا عدم ال+ استسلام و+ ال+ عيش في عالم قد يزول ب+ مجرد أن نطفئ ال+ أنترنت , على +نا مزاولة ال+ عيش في حياة +نا ال+ واقعية ."", ""و+ مع ذلك يجب على +نا مواكبة ال+ تطور و+ لكن ليس ل+ ال+ حد الذي يجعل +نا ننسى من نحن أو من حول +نا ."", ""و+ ب+ ال+ أخير ل+ كل شيء مضار و+ منافع و+ على +نا توخي ال+ حذر و+ توسيع مدارك أفكار +نا و+ تحمل مسؤولية أفعال +نا , ف+ هي س+ تؤثر على +نا و+ على عوائل +نا و+ مجتمع +نا ."", ""ف+ لكم أن تتخيلوا مجتمعا كاملا يقتات في إحدى هذه ال+ شاشات و+ يحيا بين كبسة زر و+ أخرى و+ ال+ إشاعات تجتاح +ه , ب+ ال+ طبع س+ يدمر من أساس +ه حتى آخر +ه ."", ""و+ أخيرا مثل +ما قلت على +نا توخي ال+ حذر دائما و+ آبدا .""]","[12, 12, 14, 12, 10, 11, 11, 12, 12, 12]",14,11.8
AR-030-83625,Unassessable,7,من أشهر وسائل الاتصال بالآخرين هي الاجتماعية.,"[""من أشهر وسائل ال+ اتصال ب+ ال+ آخرين هي ال+ اجتماعية .""]",[7],7,7.0
AR-030-85891,A2,34,التواصل الاجتماعي من أخطر الأشياء لأنه يبعدنا عن والدينا ولا يعطينا الوقت الكافي للجلوس معهم وذلك يؤثر في عقولنا وتصرفاتنا بشكل سلبي وليس جيدا أبدا. لذلك يجب علينا أن لا نستخدمه كثيرا وننتبه له.,"[""ال+ تواصل ال+ اجتماعي من أخطر ال+ أشياء ل+ أن +ه يبعد +نا عن والدي +نا و+ لا يعطي +نا ال+ وقت ال+ كافي ل+ ال+ جلوس مع +هم و+ ذلك يؤثر في عقول +نا و+ تصرفات +نا ب+ شكل سلبي و+ ليس جيدا أبدا ."", ""ل+ ذلك يجب على +نا أن لا نستخدم +ه كثيرا و+ ننتبه ل +ه .""]","[12, 8]",12,10.0
AR-030-87953,B1,155,يوجد الكثير من الطرق لكي نعزز ثقافة التسامح في المجتمع ومن الممكن تطويرها ونشرها إلى دول أخرى لكي نحصل على انطباع جيد من الزوار والناس عامة، ومنها نشر أوراق توعية تدل على أهمية عزيمتها ومدى تقديرها للشعب. ومن الممكن إلقاء محاضرات في المدارس للكبار والصغار بطريقة مبتكرة لكي لا يشعروا بالملل، ومن الممكن أن يستفيدوا من هذا الشيء. التطور جدا مهم في دولة الإمارات العربية المتحدة، حيث إني شهدت أن دولة الإمارات العربية المتحدة هي الأكثر تطويرا في العالم بأكمله ومع مرور الوقت سوف يزداد هذا التطور وسوف تتطور في الحضارة وسوف يشهد الشعب أن هذه دولة متكاملة ودولة مستعمرة، حيث إن الشيخ زايد - رحمه الله - وجميع حكام دولة الإمارات حرصوا على التطوير الحضاري أكثر من كل شيء، فيجب أن نشعر بالأمان والانتماء لهذه النعمة التي أعطونا إياها. لدى التواصل الاجتماعي تأثير قوي لدى الشعب وأصبحنا لا يمكننا العيش بدونه حيث أصبح جميع الناس من كل النواحي لديهم هاتف محمول وإلكترونيات ومنها الأكثر.,"[""يوجد ال+ كثير من ال+ طرق ل+ كي نعزز ثقافة ال+ تسامح في ال+ مجتمع و+ من ال+ ممكن تطوير +ها و+ نشر +ها إلى دول أخرى ل+ كي نحصل على انطباع جيد من ال+ زوار و+ ال+ ناس عامة , و+ من +ها نشر أوراق توعية تدل على أهمية عزيمة +ها و+ مدى تقدير +ها ل+ ال+ شعب ."", ""و+ من ال+ ممكن إلقاء محاضرات في ال+ مدارس ل+ ال+ كبار و+ ال+ صغار ب+ طريقة مبتكرة ل+ كي لا يشعروا ب+ ال+ ملل , و+ من ال+ ممكن أن يستفيدوا من هذا ال+ شيء ."", ""ال+ تطور جدا مهم في دولة ال+ إمارات ال+ عربية ال+ متحدة , حيث أن +ني شهدت أن دولة ال+ إمارات ال+ عربية ال+ متحدة هي ال+ أكثر تطويرا في ال+ عالم ب+ أكمل +ه و+ مع مرور ال+ وقت سوف يزداد هذا ال+ تطور و+ سوف تتطور في ال+ حضارة و+ سوف يشهد ال+ شعب أن هذه دولة متكاملة و+ دولة مستعمرة , حيث إن ال+ شيخ زايد - رحم +ه الله - و+ جميع حكام دولة ال+ إمارات حرصوا على ال+ تطوير ال+ حضاري أكثر من كل شيء , ف+ يجب أن نشعر ب+ ال+ أمان و+ ال+ انتماء ل+ هذه ال+ نعمة التي أعطوا +نا إيا +ها ."", ""لدى ال+ تواصل ال+ اجتماعي تأثير قوي لدى ال+ شعب و+ أصبحنا لا يمكن +نا ال+ عيش ب+ دون +ه حيث أصبح جميع ال+ ناس من كل ال+ نواحي لدى +هم هاتف محمول و+ إلكترونيات و+ من +ها ال+ أكثر .""]","[12, 12, 12, 12]",12,12.0
AR-030-89249,B1,92,يعتبر التسامح النوعية الجيدة ومن الضروري لنا كمجتمع، وفي هذا المجتمع يبدو أن معدل التسامح انخفض مع مرور الأيام، الناس لا يحبون رأي الآخرين وحتى في تفكيرهم، يجب تطوير التسامح في مجتمعنا، حاليا اعط فرصة للآخرين لتطوير أنفسهم. التسامح هو الشيء الرئيسي في التعليم لأي شخص، التفكير بما يفعلونه يخلق صراعات بينهم والنقاشات في الأشياء الصغيرة ليس لها ضرورة، التسامح يجب أن يكون لنا واجبا فهو يمثل شخصيتك وأسلوبك وهذا السلوك لا يخلق شخصا مثاليا بل يحفز الآخرين أيضا على التسامح مع الآخرين، يجب أن يأخذ دورا كبيرا في مجتمعنا لهذه الأسباب.,"[""يعتبر ال+ تسامح ال+ نوعية ال+ جيدة و+ من ال+ ضروري ل +نا ك+ مجتمع , و+ في هذا ال+ مجتمع يبدو أن معدل ال+ تسامح انخفض مع مرور ال+ أيام , ال+ ناس لا يحبون رأي ال+ آخرين و+ حتى في تفكير +هم , يجب تطوير ال+ تسامح في مجتمع +نا , حاليا أعط فرصة ل+ ال+ آخرين ل+ تطوير أنفس +هم ."", ""ال+ تسامح هو ال+ شيء ال+ رئيسي في ال+ تعليم ل+ أي شخص , ال+ تفكير ب+ ما يفعلون +ه يخلق صراعات بين +هم و+ ال+ نقاشات في ال+ أشياء ال+ صغيرة ليس ل +ها ضرورة , ال+ تسامح يجب أن يكون ل +نا واجبا ف+ هو يمثل شخصية +ك و+ أسلوب +ك و+ هذا ال+ سلوك لا يخلق شخصا مثاليا بل يحفز ال+ آخرين أيضا على ال+ تسامح مع ال+ آخرين , يجب أن يأخذ دورا كبيرا في مجتمع +نا ل+ هذه ال+ أسباب .""]","[14, 14]",14,14.0
AR-030-89881,B1,40,في عصرنا هذا أصبح التواصل الاجتماعي شيئا أساسيا نستخدمه بشكل يومي. للتواصل الاجتماعي الكثير من الإيجابيات والسلبيات التي أثرت على حياتنا بشكل ملحوظ. من إيجابيات التواصل الاجتماعي أنه عمل على تسهيل التواصل بين البشر وجعلنا نتعلم ونتعرف على ثقافات مختلفة.,"[""في عصر +نا هذا أصبح ال+ تواصل ال+ اجتماعي شيئا أساسيا نستخدم +ه ب+ شكل يومي ."", ""ل+ ال+ تواصل ال+ اجتماعي ال+ كثير من ال+ إيجابيات و+ ال+ سلبيات التي أثرت على حياة +نا ب+ شكل ملحوظ ."", ""من إيجابيات ال+ تواصل ال+ اجتماعي أن +ه عمل على تسهيل ال+ تواصل بين ال+ بشر و+ جعلنا نتعلم و+ نتعرف على ثقافات مختلفة .""]","[10, 10, 11]",11,10.333333333333334
AR-030-90528,A2,150,"التواصل الاجتماعي له أثر جدا كبير في مجتمعنا الحالي. الإنترنت غير الإنسان بشكل غير طبيعي، وفي رأيي غير الإنسان للأسوأ لأنه مشغول طوال اليوم يتواصل مع الناس ولم يكن لديه أي وقت فراغ ليجلس مع أهله وعائلته. لم أنكر فيه إيجابيات كثيرة مثل تمكن الإنسان من التواصل مع فرد خارج الدولة وممكن أيضا أن يبحث عن معلومات في ""جوجل"" ليساعده في مثلا واجب. المجتمع تحسن بسبب التواصل الاجتماعي في التكنولوجيا الذي ساعد في تطور الدولة والعالم، والفرد يريد أن يطور مجتمعه وليطور مجتمع يحتاج إلى التواصل الاجتماعي لكي يعرف المجتمع إلى أي حد مطور ليعمل شيئا جديدا وغير مألوف لأن بهذه الطريقة المجتمع سيتطور إلى الأفضل. فيه طرف ثان للتواصل الاجتماعي مثل ""إنستجرام"" و ""تويتر"" و ""سنابتشات""، هذه البرامج يستخدمونها ليتواصلوا مع أصدقائهم وأحبائهم وممكن أن يرسلوا صورا أو فيديو لبعضهم ليعرفوا أخبار بعض. هذا الشيء جيد إذا استخدموه بالطريقة الصحيحة وإذا استخدموه بطريقة خاطئة سيفسد المجتمع بشكل كبير وخاطئ.","[""ال+ تواصل ال+ اجتماعي ل +ه إثر جدا كبير في مجتمع +نا ال+ حالي ."", ""ال+ أنترنت غير ال+ إنسان ب+ شكل غير طبيعي , و+ في رأي +ي غير ال+ إنسان ل+ ال+ أسوأ ل+ أن +ه مشغول طوال ال+ يوم يتواصل مع ال+ ناس و+ لم يكن لدى +ه أي وقت فراغ ل+ يجلس مع أهل +ه و+ عائلة +ه ."", ""لم أنكر في +ه إيجابيات كثيرة مثل تمكن ال+ إنسان من ال+ تواصل مع فرد خارج ال+ دولة و+ ممكن أيضا أن يبحث عن معلومات في \"" جوجل \"" ل+ يساعد +ه في مثلا واجب ."", ""ال+ مجتمع تحسن ب+ سبب ال+ تواصل ال+ اجتماعي في ال+ تكنولوجيا الذي ساعد في تطور ال+ دولة و+ ال+ عالم , و+ ال+ فرد يريد أن يطور مجتمع +ه و+ ل+ يطور مجتمع يحتاج إلى ال+ تواصل ال+ اجتماعي ل+ كي يعرف ال+ مجتمع إلى أي حد مطور ل+ يعمل شيئا جديدا و+ غير مألوف ل+ أن ب+ هذه ال+ طريقة ال+ مجتمع س+ يتطور إلى ال+ أفضل ."", ""في +ه طرف ثان ل+ ال+ تواصل ال+ اجتماعي مثل \"" انستجرام \"" و \"" تويتر \"" و \"" سنابتشات \"" , هذه ال+ برامج يستخدمون +ها ل+ يتواصلوا مع أصدقاء +هم و+ أحباء +هم و+ ممكن أن يرسلوا صورا أو فيديو ل+ بعض +هم ل+ يعرفوا أخبار بعض ."", ""هذا ال+ شيء جيد إذا استخدموا +ه ب+ ال+ طريقة ال+ صحيحة و+ إذا استخدموا +ه ب+ طريقة خاطئة س+ يفسد ال+ مجتمع ب+ شكل كبير و+ خاطئ .""]","[12, 12, 12, 14, 12, 13]",14,12.5
