Document_ID,sentences,total_words,avg_words_per_sentence,total_unique_words,avg_unique_words,overall_avg_word_len,overall_max_word_len,CEFR
AR-030-268469,11,156,14.181818181818182,150,13.636363636363637,4.897871528553346,10,B1
AR-030-386369,9,152,16.88888888888889,144,16.0,5.367275596398404,11,B2
AR-030-81027,2,32,16.0,29,14.5,5.277777777777778,9,A2
AR-030-81757,10,208,20.8,196,19.6,4.631609691565944,9,B2
AR-030-85891,2,34,17.0,34,17.0,4.46,9,A2
AR-030-87953,4,153,38.25,133,33.25,4.700431145431145,11,B1
AR-030-89249,2,92,46.0,81,40.5,4.677875243664717,9,B1
AR-030-89881,3,40,13.333333333333334,38,12.666666666666666,5.28921568627451,10,B1
AR-030-90528,6,150,25.0,136,22.666666666666668,4.760744396645559,11,A2
AR-030-92524,10,162,16.2,153,15.3,5.383371647509579,11,B1
AR-030-92800,4,52,13.0,47,11.75,4.535218253968254,9,B1
AR-030-93360,6,195,32.5,171,28.5,4.047463768115942,9,B2
AR-030-96339,5,132,26.4,122,24.4,5.193865514850957,11,B1
AR-030-96683,9,143,15.88888888888889,133,14.777777777777779,4.990970481759955,10,B1
AR-030-97791,6,125,20.833333333333332,113,18.833333333333332,4.85717220754702,10,B1
AR-130-119813,3,35,11.666666666666666,35,11.666666666666666,5.333333333333333,9,A2
AR-130-121991965,5,100,20.0,85,17.0,4.93,9,B1
AR-130-165859,6,88,14.666666666666666,86,14.333333333333334,4.884996018474279,9,B2
AR-130-165949,6,139,23.166666666666668,125,20.833333333333332,4.668789720389307,10,B1
AR-130-168718,9,174,19.333333333333332,163,18.11111111111111,4.860970510970511,10,B2
AR-130-186196,8,177,22.125,161,20.125,5.17168791353574,10,B1
AR-130-187968,9,219,24.333333333333332,201,22.333333333333332,5.173130455191011,12,B1
AR-130-188359,4,43,10.75,43,10.75,5.088383838383838,9,B1
AR-130-188826,3,158,52.666666666666664,140,46.666666666666664,5.088001514911814,11,B2
AR-130-188847,1,70,70.0,59,59.0,5.171428571428572,9,B1
AR-130-188945,5,92,18.4,85,17.0,4.817222222222222,10,A2
AR-130-189349,8,196,24.5,185,23.125,5.140316980286738,12,B2
AR-130-189525,5,86,17.2,79,15.8,4.973061017929439,10,B1
AR-130-189611,7,169,24.142857142857142,155,22.142857142857142,4.654133945487329,11,B1
AR-130-189750,5,159,31.8,142,28.4,4.7561908177905305,13,B1
AR-130-189799,3,159,53.0,125,41.666666666666664,4.31964656964657,10,B1
AR-130-189921,5,111,22.2,96,19.2,5.343964368964369,11,B1
AR-130-190122,5,108,21.6,104,20.8,4.844343229869546,9,B1
AR-130-190307,6,149,24.833333333333332,137,22.833333333333332,4.876488864279562,10,B1
AR-130-190317,6,152,25.333333333333332,135,22.5,4.5065699732366395,10,B1
AR-130-190447,5,172,34.4,162,32.4,4.926718614718615,10,C1
AR-130-190745,3,89,29.666666666666668,77,25.666666666666668,4.559303081130906,10,B1
AR-130-190808,6,144,24.0,127,21.166666666666668,4.642888551665726,11,B1
AR-130-190855,8,138,17.25,134,16.75,5.023279352226721,11,B2
AR-130-190863,6,124,20.666666666666668,114,19.0,5.302016129032258,9,B1
AR-130-191075,4,64,16.0,59,14.75,4.988909238909239,10,B1
AR-130-191088,4,84,21.0,80,20.0,5.301956233421751,9,B1
AR-130-191115,8,176,22.0,158,19.75,4.7256733755375055,10,B1
AR-130-191242,6,105,17.5,103,17.166666666666668,5.486430278204472,12,B2
AR-130-191743,10,209,20.9,187,18.7,5.095786220242742,11,B1
AR-130-191794,8,156,19.5,146,18.25,4.860254245275797,10,B2
