Document_ID,CEFR,dep_---,dep_IDF,dep_MOD,dep_OBJ,dep_PRD,dep_SBJ,dep_TMZ,dep_TPC,pos_ADJ,pos_ADP,pos_ADV,pos_AUX,pos_CCONJ,pos_DET,pos_INTJ,pos_NOUN,pos_NUM,pos_PART,pos_PRON,pos_PROPN,pos_PUNCT,pos_SCONJ,pos_VERB,pos_X,depPOS_---(ADJ),depPOS_---(ADP),depPOS_---(ADV),depPOS_---(CCONJ),depPOS_---(DET),depPOS_---(NOUN),depPOS_---(PRON),depPOS_---(PROPN),depPOS_---(PUNCT),depPOS_---(SCONJ),depPOS_---(VERB),depPOS_IDF(ADJ),depPOS_IDF(ADP),depPOS_IDF(ADV),depPOS_IDF(DET),depPOS_IDF(NOUN),depPOS_IDF(NUM),depPOS_IDF(PRON),depPOS_IDF(PROPN),depPOS_IDF(SCONJ),depPOS_IDF(VERB),depPOS_MOD(ADJ),depPOS_MOD(ADP),depPOS_MOD(ADV),depPOS_MOD(AUX),depPOS_MOD(CCONJ),depPOS_MOD(DET),depPOS_MOD(INTJ),depPOS_MOD(NOUN),depPOS_MOD(NUM),depPOS_MOD(PART),depPOS_MOD(PRON),depPOS_MOD(PROPN),depPOS_MOD(PUNCT),depPOS_MOD(SCONJ),depPOS_MOD(VERB),depPOS_MOD(X),depPOS_OBJ(ADJ),depPOS_OBJ(ADP),depPOS_OBJ(ADV),depPOS_OBJ(CCONJ),depPOS_OBJ(DET),depPOS_OBJ(INTJ),depPOS_OBJ(NOUN),depPOS_OBJ(NUM),depPOS_OBJ(PART),depPOS_OBJ(PRON),depPOS_OBJ(PROPN),depPOS_OBJ(SCONJ),depPOS_OBJ(VERB),depPOS_PRD(ADJ),depPOS_PRD(ADP),depPOS_PRD(ADV),depPOS_PRD(CCONJ),depPOS_PRD(NOUN),depPOS_PRD(NUM),depPOS_PRD(PRON),depPOS_PRD(PROPN),depPOS_PRD(SCONJ),depPOS_PRD(VERB),depPOS_PRD(X),depPOS_SBJ(ADJ),depPOS_SBJ(DET),depPOS_SBJ(NOUN),depPOS_SBJ(NUM),depPOS_SBJ(PRON),depPOS_SBJ(PROPN),depPOS_SBJ(SCONJ),depPOS_SBJ(VERB),depPOS_TMZ(NOUN),depPOS_TPC(ADJ),depPOS_TPC(ADP),depPOS_TPC(DET),depPOS_TPC(NOUN),depPOS_TPC(PRON),depPOS_TPC(PROPN),n_tokens,dep_---_per_token,dep_IDF_per_token,dep_MOD_per_token,dep_OBJ_per_token,dep_PRD_per_token,dep_SBJ_per_token,dep_TMZ_per_token,dep_TPC_per_token,pos_ADJ_per_token,pos_ADP_per_token,pos_ADV_per_token,pos_AUX_per_token,pos_CCONJ_per_token,pos_DET_per_token,pos_INTJ_per_token,pos_NOUN_per_token,pos_NUM_per_token,pos_PART_per_token,pos_PRON_per_token,pos_PROPN_per_token,pos_PUNCT_per_token,pos_SCONJ_per_token,pos_VERB_per_token,pos_X_per_token,depPOS_---(ADJ)_per_token,depPOS_---(ADP)_per_token,depPOS_---(ADV)_per_token,depPOS_---(CCONJ)_per_token,depPOS_---(DET)_per_token,depPOS_---(NOUN)_per_token,depPOS_---(PRON)_per_token,depPOS_---(PROPN)_per_token,depPOS_---(PUNCT)_per_token,depPOS_---(SCONJ)_per_token,depPOS_---(VERB)_per_token,depPOS_IDF(ADJ)_per_token,depPOS_IDF(ADP)_per_token,depPOS_IDF(ADV)_per_token,depPOS_IDF(DET)_per_token,depPOS_IDF(NOUN)_per_token,depPOS_IDF(NUM)_per_token,depPOS_IDF(PRON)_per_token,depPOS_IDF(PROPN)_per_token,depPOS_IDF(SCONJ)_per_token,depPOS_IDF(VERB)_per_token,depPOS_MOD(ADJ)_per_token,depPOS_MOD(ADP)_per_token,depPOS_MOD(ADV)_per_token,depPOS_MOD(AUX)_per_token,depPOS_MOD(CCONJ)_per_token,depPOS_MOD(DET)_per_token,depPOS_MOD(INTJ)_per_token,depPOS_MOD(NOUN)_per_token,depPOS_MOD(NUM)_per_token,depPOS_MOD(PART)_per_token,depPOS_MOD(PRON)_per_token,depPOS_MOD(PROPN)_per_token,depPOS_MOD(PUNCT)_per_token,depPOS_MOD(SCONJ)_per_token,depPOS_MOD(VERB)_per_token,depPOS_MOD(X)_per_token,depPOS_OBJ(ADJ)_per_token,depPOS_OBJ(ADP)_per_token,depPOS_OBJ(ADV)_per_token,depPOS_OBJ(CCONJ)_per_token,depPOS_OBJ(DET)_per_token,depPOS_OBJ(INTJ)_per_token,depPOS_OBJ(NOUN)_per_token,depPOS_OBJ(NUM)_per_token,depPOS_OBJ(PART)_per_token,depPOS_OBJ(PRON)_per_token,depPOS_OBJ(PROPN)_per_token,depPOS_OBJ(SCONJ)_per_token,depPOS_OBJ(VERB)_per_token,depPOS_PRD(ADJ)_per_token,depPOS_PRD(ADP)_per_token,depPOS_PRD(ADV)_per_token,depPOS_PRD(CCONJ)_per_token,depPOS_PRD(NOUN)_per_token,depPOS_PRD(NUM)_per_token,depPOS_PRD(PRON)_per_token,depPOS_PRD(PROPN)_per_token,depPOS_PRD(SCONJ)_per_token,depPOS_PRD(VERB)_per_token,depPOS_PRD(X)_per_token,depPOS_SBJ(ADJ)_per_token,depPOS_SBJ(DET)_per_token,depPOS_SBJ(NOUN)_per_token,depPOS_SBJ(NUM)_per_token,depPOS_SBJ(PRON)_per_token,depPOS_SBJ(PROPN)_per_token,depPOS_SBJ(SCONJ)_per_token,depPOS_SBJ(VERB)_per_token,depPOS_TMZ(NOUN)_per_token,depPOS_TPC(ADJ)_per_token,depPOS_TPC(ADP)_per_token,depPOS_TPC(DET)_per_token,depPOS_TPC(NOUN)_per_token,depPOS_TPC(PRON)_per_token,depPOS_TPC(PROPN)_per_token
AR-030-268469,B1,11,34,106,49,3,14,0,1,20,28,4,3,21,1,0,79,0,6,18,3,14,2,19,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,19,0,14,1,0,0,17,23,4,3,21,1,0,11,0,5,1,1,14,1,4,0,1,3,0,0,0,0,36,0,1,3,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,1,1,0,0,0,0,0,1,0,0,218,0.05045871559633028,0.1559633027522936,0.48623853211009177,0.22477064220183487,0.013761467889908258,0.06422018348623854,0.0,0.0045871559633027525,0.09174311926605505,0.12844036697247707,0.01834862385321101,0.013761467889908258,0.0963302752293578,0.0045871559633027525,0.0,0.3623853211009174,0.0,0.027522935779816515,0.08256880733944955,0.013761467889908258,0.06422018348623854,0.009174311926605505,0.0871559633027523,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04128440366972477,0.0,0.0,0.0,0.0,0.0871559633027523,0.0,0.06422018348623854,0.0045871559633027525,0.0,0.0,0.0779816513761468,0.10550458715596331,0.01834862385321101,0.013761467889908258,0.0963302752293578,0.0045871559633027525,0.0,0.05045871559633028,0.0,0.022935779816513763,0.0045871559633027525,0.0045871559633027525,0.06422018348623854,0.0045871559633027525,0.01834862385321101,0.0,0.0045871559633027525,0.013761467889908258,0.0,0.0,0.0,0.0,0.1651376146788991,0.0,0.0045871559633027525,0.013761467889908258,0.0,0.0,0.022935779816513763,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.05504587155963303,0.0,0.0,0.0045871559633027525,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0
AR-030-386369,B2,9,34,86,58,0,17,0,1,30,36,2,0,20,3,0,69,0,0,17,0,13,4,11,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,1,22,0,10,0,0,0,16,28,2,0,20,1,0,0,0,0,3,0,13,0,3,0,10,2,0,0,0,0,38,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,9,0,1,0,4,0,0,1,0,0,0,0,0,205,0.04390243902439024,0.16585365853658537,0.4195121951219512,0.28292682926829266,0.0,0.08292682926829269,0.0,0.004878048780487805,0.14634146341463414,0.17560975609756097,0.00975609756097561,0.0,0.0975609756097561,0.014634146341463415,0.0,0.33658536585365856,0.0,0.0,0.08292682926829269,0.0,0.06341463414634146,0.01951219512195122,0.05365853658536585,0.0,0.0,0.02926829268292683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014634146341463415,0.004878048780487805,0.0,0.0,0.004878048780487805,0.1073170731707317,0.0,0.04878048780487805,0.0,0.0,0.0,0.07804878048780488,0.13658536585365855,0.00975609756097561,0.0,0.0975609756097561,0.004878048780487805,0.0,0.0,0.0,0.0,0.014634146341463415,0.0,0.06341463414634146,0.0,0.014634146341463415,0.0,0.04878048780487805,0.00975609756097561,0.0,0.0,0.0,0.0,0.18536585365853658,0.0,0.0,0.014634146341463415,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00975609756097561,0.004878048780487805,0.04390243902439024,0.0,0.004878048780487805,0.0,0.01951219512195122,0.0,0.0,0.004878048780487805,0.0,0.0,0.0,0.0,0.0
AR-030-81027,A2,2,5,21,11,0,4,0,0,8,7,0,0,4,1,0,18,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,7,5,0,0,4,0,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,43,0.046511627906976744,0.11627906976744186,0.4883720930232558,0.2558139534883721,0.0,0.09302325581395349,0.0,0.0,0.18604651162790697,0.16279069767441862,0.0,0.0,0.09302325581395349,0.023255813953488372,0.0,0.4186046511627907,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.046511627906976744,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.16279069767441862,0.11627906976744186,0.0,0.0,0.09302325581395349,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.18604651162790697,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR-030-81757,B2,10,55,139,80,7,19,0,1,14,37,1,7,39,7,0,104,0,6,40,3,21,5,27,0,0,2,0,1,0,1,0,1,0,0,5,0,0,0,2,31,0,19,1,2,0,10,31,1,7,38,4,0,13,0,6,2,0,21,1,5,0,3,3,0,0,0,0,43,0,0,15,1,1,14,1,1,0,0,2,0,0,0,0,3,0,0,1,13,0,4,0,1,0,0,0,0,0,1,0,0,311,0.03215434083601286,0.17684887459807075,0.44694533762057875,0.2572347266881029,0.022508038585209004,0.06109324758842444,0.0,0.003215434083601286,0.04501607717041801,0.1189710610932476,0.003215434083601286,0.022508038585209004,0.12540192926045016,0.022508038585209004,0.0,0.33440514469453375,0.0,0.01929260450160772,0.12861736334405144,0.00964630225080386,0.06752411575562701,0.01607717041800643,0.08681672025723473,0.0,0.0,0.006430868167202572,0.0,0.003215434083601286,0.0,0.003215434083601286,0.0,0.003215434083601286,0.0,0.0,0.01607717041800643,0.0,0.0,0.0,0.006430868167202572,0.09967845659163987,0.0,0.06109324758842444,0.003215434083601286,0.006430868167202572,0.0,0.03215434083601286,0.09967845659163987,0.003215434083601286,0.022508038585209004,0.12218649517684887,0.012861736334405145,0.0,0.04180064308681672,0.0,0.01929260450160772,0.006430868167202572,0.0,0.06752411575562701,0.003215434083601286,0.01607717041800643,0.0,0.00964630225080386,0.00964630225080386,0.0,0.0,0.0,0.0,0.1382636655948553,0.0,0.0,0.04823151125401929,0.003215434083601286,0.003215434083601286,0.04501607717041801,0.003215434083601286,0.003215434083601286,0.0,0.0,0.006430868167202572,0.0,0.0,0.0,0.0,0.00964630225080386,0.0,0.0,0.003215434083601286,0.04180064308681672,0.0,0.012861736334405145,0.0,0.003215434083601286,0.0,0.0,0.0,0.0,0.0,0.003215434083601286,0.0,0.0
AR-030-83625,Unassessable,1,2,2,2,0,1,0,1,3,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
AR-030-85891,A2,2,5,24,18,2,4,0,0,6,9,0,0,5,2,0,10,0,2,10,0,2,2,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,8,0,0,5,0,0,2,0,2,1,0,2,0,0,0,1,0,0,0,1,0,6,0,0,4,0,1,5,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,55,0.03636363636363636,0.09090909090909091,0.43636363636363634,0.32727272727272727,0.03636363636363636,0.07272727272727272,0.0,0.0,0.10909090909090909,0.16363636363636364,0.0,0.0,0.09090909090909091,0.03636363636363636,0.0,0.18181818181818182,0.0,0.03636363636363636,0.18181818181818182,0.0,0.03636363636363636,0.03636363636363636,0.12727272727272726,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.07272727272727272,0.0,0.0,0.0,0.07272727272727272,0.14545454545454545,0.0,0.0,0.09090909090909091,0.0,0.0,0.03636363636363636,0.0,0.03636363636363636,0.01818181818181818,0.0,0.03636363636363636,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.0,0.10909090909090909,0.0,0.0,0.07272727272727272,0.0,0.01818181818181818,0.09090909090909091,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR-030-87953,B1,8,26,91,58,5,19,0,0,22,30,3,3,17,4,0,69,0,4,16,2,11,8,18,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,19,0,7,0,0,0,9,25,3,3,17,3,0,6,0,4,3,1,11,1,5,0,5,4,0,0,0,0,29,0,0,5,0,5,10,1,0,0,0,2,0,0,0,0,2,0,2,1,12,0,1,1,2,0,0,0,0,0,0,0,0,207,0.03864734299516908,0.12560386473429952,0.4396135265700483,0.28019323671497587,0.024154589371980676,0.09178743961352658,0.0,0.0,0.10628019323671498,0.14492753623188406,0.014492753623188406,0.014492753623188406,0.0821256038647343,0.01932367149758454,0.0,0.3333333333333333,0.0,0.01932367149758454,0.07729468599033816,0.00966183574879227,0.05314009661835749,0.03864734299516908,0.08695652173913043,0.0,0.024154589371980676,0.004830917874396135,0.0,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.09178743961352658,0.0,0.033816425120772944,0.0,0.0,0.0,0.043478260869565216,0.12077294685990338,0.014492753623188406,0.014492753623188406,0.0821256038647343,0.014492753623188406,0.0,0.028985507246376812,0.0,0.01932367149758454,0.014492753623188406,0.004830917874396135,0.05314009661835749,0.004830917874396135,0.024154589371980676,0.0,0.024154589371980676,0.01932367149758454,0.0,0.0,0.0,0.0,0.14009661835748793,0.0,0.0,0.024154589371980676,0.0,0.024154589371980676,0.04830917874396135,0.004830917874396135,0.0,0.0,0.0,0.00966183574879227,0.0,0.0,0.0,0.0,0.00966183574879227,0.0,0.00966183574879227,0.004830917874396135,0.057971014492753624,0.0,0.004830917874396135,0.004830917874396135,0.00966183574879227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR-030-89249,B1,2,15,55,35,3,14,0,1,11,17,1,0,8,3,0,39,0,3,15,0,9,3,16,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,6,0,7,0,0,0,6,13,1,0,8,3,0,4,0,3,1,0,9,0,7,0,3,2,0,0,0,0,17,0,0,6,0,0,7,0,2,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,3,0,0,0,0,0,1,0,0,125,0.016,0.12,0.44,0.28,0.024,0.112,0.0,0.008,0.088,0.136,0.008,0.0,0.064,0.024,0.0,0.312,0.0,0.024,0.12,0.0,0.072,0.024,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.008,0.016,0.0,0.0,0.0,0.048,0.0,0.056,0.0,0.0,0.0,0.048,0.104,0.008,0.0,0.064,0.024,0.0,0.032,0.0,0.024,0.008,0.0,0.072,0.0,0.056,0.0,0.024,0.016,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.048,0.0,0.0,0.056,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.08,0.0,0.008,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0
AR-030-89881,B1,3,5,25,14,2,4,0,0,8,9,0,0,3,1,0,16,0,0,5,0,3,1,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,7,7,0,0,3,1,0,1,0,0,1,0,3,0,2,0,0,0,0,0,0,0,10,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,53,0.05660377358490566,0.09433962264150944,0.4716981132075472,0.2641509433962264,0.03773584905660377,0.07547169811320754,0.0,0.0,0.1509433962264151,0.16981132075471697,0.0,0.0,0.05660377358490566,0.018867924528301886,0.0,0.3018867924528302,0.0,0.0,0.09433962264150944,0.0,0.05660377358490566,0.018867924528301886,0.1320754716981132,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.03773584905660377,0.0,0.0,0.0,0.1320754716981132,0.1320754716981132,0.0,0.0,0.05660377358490566,0.018867924528301886,0.0,0.018867924528301886,0.0,0.0,0.018867924528301886,0.0,0.05660377358490566,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18867924528301888,0.0,0.0,0.018867924528301886,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR-030-90528,A2,6,29,99,66,2,13,0,1,22,29,1,2,15,3,0,66,0,5,20,5,17,8,23,0,1,2,0,0,0,0,0,0,0,0,3,2,0,0,0,17,0,9,1,0,0,13,27,1,2,15,3,0,10,0,4,1,0,17,2,4,0,5,0,0,0,0,0,29,0,1,8,3,4,16,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,2,1,2,0,0,0,0,0,1,0,0,216,0.027777777777777776,0.13425925925925927,0.4583333333333333,0.3055555555555556,0.009259259259259259,0.06018518518518518,0.0,0.004629629629629629,0.10185185185185185,0.13425925925925927,0.004629629629629629,0.009259259259259259,0.06944444444444445,0.013888888888888888,0.0,0.3055555555555556,0.0,0.023148148148148147,0.09259259259259259,0.023148148148148147,0.0787037037037037,0.037037037037037035,0.10648148148148148,0.0,0.004629629629629629,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.009259259259259259,0.0,0.0,0.0,0.0787037037037037,0.0,0.041666666666666664,0.004629629629629629,0.0,0.0,0.06018518518518518,0.125,0.004629629629629629,0.009259259259259259,0.06944444444444445,0.013888888888888888,0.0,0.046296296296296294,0.0,0.018518518518518517,0.004629629629629629,0.0,0.0787037037037037,0.009259259259259259,0.018518518518518517,0.0,0.023148148148148147,0.0,0.0,0.0,0.0,0.0,0.13425925925925927,0.0,0.004629629629629629,0.037037037037037035,0.013888888888888888,0.018518518518518517,0.07407407407407407,0.004629629629629629,0.0,0.0,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.009259259259259259,0.004629629629629629,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.0
