essay_id,depth_mean,depth_max,depth_list,breadth_mean,breadth_max,breadth_list,total_nodes_mean,total_nodes_max,total_nodes_list,max_branching_factor_mean,max_branching_factor_max,max_branching_factor_list,CEFR
AR-030-268469,7.7272727272727275,12,"5,6,9,5,7,8,12,7,8,6,12",5.181818181818182,9,"4,5,5,5,5,9,8,4,4,6,2",19.818181818181817,50,"10,16,22,10,17,28,50,13,22,17,13",4.909090909090909,9,"4,5,5,5,5,9,7,4,4,4,2",B1
AR-030-386369,9.0,12,"12,6,9,12,9,6,12,7,8",4.888888888888889,7,"6,5,4,4,7,4,5,5,4",22.77777777777778,32,"29,15,22,26,32,16,28,20,17",4.555555555555555,7,"4,4,4,4,7,4,5,5,4",B2
AR-030-81027,7.5,8,"8,7",5.5,6,"6,5",21.5,24,"19,24",4.5,5,"4,5",A2
AR-030-81757,10.0,12,"10,9,11,11,7,12,11,12,11,6",6.7,9,"6,9,9,7,4,5,6,8,7,6",31.1,51,"28,34,51,44,19,25,24,39,34,13",5.8,9,"6,9,5,6,4,4,6,8,4,6",B2
AR-030-83625,7.0,7,7,3.0,3,3,9.0,9,9,3.0,3,3,Unassessable
AR-030-85891,10.0,13,"13,7",4.5,5,"5,4",27.5,40,"40,15",4.0,4,"4,4",A2
AR-030-87953,12.0,16,"15,8,16,9",7.25,10,"6,7,10,6",51.75,91,"52,30,91,34",5.75,8,"4,7,8,4",B1
AR-030-89249,11.0,14,"8,14",12.0,12,"12,12",62.5,72,"53,72",8.0,9,"7,9",B1
AR-030-89881,8.666666666666666,11,"6,9,11",3.3333333333333335,4,"4,3,3",17.666666666666668,21,"15,17,21",3.3333333333333335,4,"4,3,3",B1
AR-030-90528,11.0,19,"5,14,10,19,10,8",5.666666666666667,7,"4,6,5,5,7,7",36.0,57,"12,42,33,57,47,25",5.0,6,"4,6,5,5,5,5",A2
AR-030-92524,8.7,12,"10,11,6,9,11,6,6,6,12,10",5.1,7,"4,6,5,7,6,4,3,5,7,4",22.9,40,"18,35,10,37,40,15,12,10,38,14",4.5,6,"4,6,5,4,5,4,3,5,5,4",B1
AR-030-92800,8.75,11,"10,11,7,7",3.25,4,"3,3,3,4",15.25,19,"16,19,14,12",3.25,4,"3,3,3,4",B1
AR-030-93360,12.666666666666666,20,"20,14,12,12,14,4",7.833333333333333,10,"10,6,9,10,9,3",46.166666666666664,71,"61,31,71,66,42,6",7.166666666666667,10,"6,6,9,10,9,3",B2
AR-030-96339,11.8,17,"7,13,14,17,8",5.2,7,"5,3,6,7,5",35.0,64,"24,23,43,64,21",5.0,6,"5,3,6,6,5",B1
AR-030-96683,8.88888888888889,13,"6,13,6,9,12,8,9,10,7",5.444444444444445,7,"6,7,3,5,5,5,5,6,7",21.11111111111111,37,"24,37,11,20,18,18,24,19,19",5.333333333333333,7,"6,6,3,5,5,5,5,6,7",B1
AR-030-97791,10.833333333333334,19,"10,10,17,5,19,4",6.666666666666667,12,"5,7,12,3,8,5",29.0,60,"25,24,60,11,45,9",6.0,8,"5,7,8,3,8,5",B1
AR-130-119813,6.333333333333333,9,"6,4,9",4.333333333333333,5,"5,4,4",16.0,21,"17,10,21",4.333333333333333,5,"5,4,4",A2
AR-130-119831,7.0,8,"8,6",8.0,8,"8,8",22.5,23,"23,22",6.0,8,"4,8",Unassessable
AR-130-121991965,10.6,19,"6,12,19,8,8",5.6,7,"6,7,6,3,6",27.0,51,"19,51,36,13,16",5.2,7,"4,7,6,3,6",B1
AR-130-165859,8.833333333333334,13,"5,6,13,10,11,8",4.666666666666667,7,"3,4,7,4,5,5",20.0,32,"10,14,31,16,32,17",4.0,5,"3,4,4,4,4,5",B2
