Document_ID,Essay,CEFR,word_count
AR-030-268469,وسائل التواصل الاجتماعي لها أضرار وفوائد كثيرة. ولكن بان في الآونة الأخيرة أن مضارها أكبر بكثير من منافعها. فإذا نشأ الطفل وبيده هاتف أو جهاز إلكتروني ستلاحظ عدم قدرته على الاستجابة بسرعة. وأيضا سوف تلاحظ عدم قدرته على التركيز. ومضار التواصل الاجتماعي لم تكتف بالأطفال والمراهقين فقط بل بجميع الفئات العمرية. فكم من شخص قد رحل من هذه الدنيا بسبب حادث سيارة، وسببه الهاتف المتحرك ليتفقد الشخص صفحة على مواقع التواصل الاجتماعي. أيضا مقارنة بمجالس الشباب سابقا قبل ظهور مواقع التواصل، لرأيت شبابا يضحكون مع بعضهم أو لربما يلعبون لعبة ما، أما الآن فترى شبابا جالسين جنبهم الجنب ولا يتكلمون مع بعضهم البعض وتراهم جميعا على مواقع التواصل الاجتماعي. التواصل الاجتماعي أثر كثيرا على عاداتنا كبشر وكمجتمع. وترى أيضا امرأة إما مشغولة عن أبنائها بالتواصل الاجتماعي أو موظفا مشغولا بهاتفه أثناء أوقات الدوام. مواقع التواصل الاجتماعي كسيف ذي حدين ولكن أصبحت مضارها أكثر من منافعها. أصبحت تميل إلى نوع من أنواع الإدمان الذي يجب الحذر منه.,B1,150
AR-030-386369,تعد وسائل التواصل الاجتماعي من أكبر المؤثرات على الفرد في مجتمعنا الحالي، وذلك بسبب إدمان الفرد على استخدامها بشكل متواصل ويومي. تتنوع المؤثرات - منها الإيجابية والسلبية - على الأفراد في دولتنا. الإيجابية منها سرعة التواصل وسهولته وتنوعه كالرسائل الفورية والصوتية والتواصل المرئي والصوتي. أيضا يمكن للفائدة أن تشمل الناس عامة في وظائفهم من خلال تمكنهم من استخدام البريد الإلكتروني والاجتماعات من خلال هذه الوسائل. ومن السلبيات التي تنتج من وسائل التواصل الاجتماعي الابتزاز الإلكتروني وهي ظاهرة منتشرة في الآونة الأخيرة، وغير ذلك إضاعة الوقت الذي يمكن استثماره بفائدة أخرى. ومن أمثلة إضاعة الوقت قضاء وقت العمل على وسائل التواصل الاجتماعي لإضاعته. ومن مؤثرات الوسائل على المجتمع أن تنتشر الإشاعات التي تولد وتزيد من المشاكل ومنها المشاكل الأسرية والاجتماعية والسياسية وغيرها. وعلى سبيل التأثير الإيجابي من الممكن أن تنتشر التوعية في بعض المجالات على المجتمع من خلال وسائل التواصل. أيضا من الممكن أن تنتشر بعض الثقافات الإيجابية على المجتمع من خلال وسائل التواصل كالقراءة.,B2,150
AR-030-81027,قام انتشار وسائل التواصل الاجتماعي بشكل كبير وهذا أثر على المجتمع بشكل إيجابي وسلبي. من الآثار الإيجابية للتواصل الاجتماعي التواصل مع الناس بشكل أسهل، ومن الآثار السلبية انتشار الكراهية والفساد بين الناس.,A2,0
AR-030-81757,وسائل التواصل الاجتماعي لقد تطورت وسائل المعرفة والتقدم واجتاحت وسائل التواصل الاجتماعي منازلنا وحياتنا وأيضا مائدة طعامنا دون استئذان. فللأسف أصبحت فردا من العائلة، فردا غير مرحب به، ولكنه متواجد رغما عنا، فقد أصبح مسيطرا على خلايا أدمغتنا وحواسنا. لا أنكر أن هذا الفرد قرب لنا البعيد، ولكن مع ذلك أبعد القريب، وأصبحت الأخبار بوجوده تصلنا بعد ثوان من حدوثها حتى إن كانت من مشرق الأرض أو مغربها، فهو يجمع العالم كله في شاشة لامعة صغيرة. ولكن لنتحدث بكل أريحية وصراحة، مواقع التواصل الاجتماعي أصبحت عبارة عن أداة ذات حدين قد تدمر حياتك أو حياة أي شخص آخر بكبسة زر، وقد تشرق حياة أحدهم من ذات كبسة الزر تلك. ولكن هذا بالطبع يعتمد علينا نحن كأفراد على مدى سيطرة تلك الشاشات علينا. علينا عدم الاستسلام والعيش في عالم قد يزول بمجرد أن نطفئ الإنترنت، علينا مزاولة العيش في حياتنا الواقعية. ومع ذلك يجب علينا مواكبة التطور ولكن ليس للحد الذي يجعلنا ننسى من نحن أو من حولنا. وبالأخير لكل شيء مضار ومنافع وعلينا توخي الحذر وتوسيع مدارك أفكارنا وتحمل مسؤولية أفعالنا، فهي ستؤثر علينا وعلى عوائلنا ومجتمعنا. فلكم أن تتخيلوا مجتمعا كاملا يقتات في إحدى هذه الشاشات ويحيا بين كبسة زر وأخرى والإشاعات تجتاحه، بالطبع سيدمر من أساسه حتى آخره. وأخيرا مثلما قلت علينا توخي الحذر دائما وأبدا.,B2,200
AR-030-83625,من أشهر وسائل الاتصال بالآخرين هي الاجتماعية.,Unassessable,0
AR-030-85891,التواصل الاجتماعي من أخطر الأشياء لأنه يبعدنا عن والدينا ولا يعطينا الوقت الكافي للجلوس معهم وذلك يؤثر في عقولنا وتصرفاتنا بشكل سلبي وليس جيدا أبدا. لذلك يجب علينا أن لا نستخدمه كثيرا وننتبه له.,A2,0
AR-030-87953,يوجد الكثير من الطرق لكي نعزز ثقافة التسامح في المجتمع ومن الممكن تطويرها ونشرها إلى دول أخرى لكي نحصل على انطباع جيد من الزوار والناس عامة، ومنها نشر أوراق توعية تدل على أهمية عزيمتها ومدى تقديرها للشعب. ومن الممكن إلقاء محاضرات في المدارس للكبار والصغار بطريقة مبتكرة لكي لا يشعروا بالملل، ومن الممكن أن يستفيدوا من هذا الشيء. التطور جدا مهم في دولة الإمارات العربية المتحدة، حيث إني شهدت أن دولة الإمارات العربية المتحدة هي الأكثر تطويرا في العالم بأكمله ومع مرور الوقت سوف يزداد هذا التطور وسوف تتطور في الحضارة وسوف يشهد الشعب أن هذه دولة متكاملة ودولة مستعمرة، حيث إن الشيخ زايد - رحمه الله - وجميع حكام دولة الإمارات حرصوا على التطوير الحضاري أكثر من كل شيء، فيجب أن نشعر بالأمان والانتماء لهذه النعمة التي أعطونا إياها. لدى التواصل الاجتماعي تأثير قوي لدى الشعب وأصبحنا لا يمكننا العيش بدونه حيث أصبح جميع الناس من كل النواحي لديهم هاتف محمول وإلكترونيات ومنها الأكثر.,B1,150
AR-030-89249,يعتبر التسامح النوعية الجيدة ومن الضروري لنا كمجتمع، وفي هذا المجتمع يبدو أن معدل التسامح انخفض مع مرور الأيام، الناس لا يحبون رأي الآخرين وحتى في تفكيرهم، يجب تطوير التسامح في مجتمعنا، حاليا اعط فرصة للآخرين لتطوير أنفسهم. التسامح هو الشيء الرئيسي في التعليم لأي شخص، التفكير بما يفعلونه يخلق صراعات بينهم والنقاشات في الأشياء الصغيرة ليس لها ضرورة، التسامح يجب أن يكون لنا واجبا فهو يمثل شخصيتك وأسلوبك وهذا السلوك لا يخلق شخصا مثاليا بل يحفز الآخرين أيضا على التسامح مع الآخرين، يجب أن يأخذ دورا كبيرا في مجتمعنا لهذه الأسباب.,B1,50
AR-030-89881,في عصرنا هذا أصبح التواصل الاجتماعي شيئا أساسيا نستخدمه بشكل يومي. للتواصل الاجتماعي الكثير من الإيجابيات والسلبيات التي أثرت على حياتنا بشكل ملحوظ. من إيجابيات التواصل الاجتماعي أنه عمل على تسهيل التواصل بين البشر وجعلنا نتعلم ونتعرف على ثقافات مختلفة.,B1,0
AR-030-90528,"التواصل الاجتماعي له أثر جدا كبير في مجتمعنا الحالي. الإنترنت غير الإنسان بشكل غير طبيعي، وفي رأيي غير الإنسان للأسوأ لأنه مشغول طوال اليوم يتواصل مع الناس ولم يكن لديه أي وقت فراغ ليجلس مع أهله وعائلته. لم أنكر فيه إيجابيات كثيرة مثل تمكن الإنسان من التواصل مع فرد خارج الدولة وممكن أيضا أن يبحث عن معلومات في ""جوجل"" ليساعده في مثلا واجب. المجتمع تحسن بسبب التواصل الاجتماعي في التكنولوجيا الذي ساعد في تطور الدولة والعالم، والفرد يريد أن يطور مجتمعه وليطور مجتمع يحتاج إلى التواصل الاجتماعي لكي يعرف المجتمع إلى أي حد مطور ليعمل شيئا جديدا وغير مألوف لأن بهذه الطريقة المجتمع سيتطور إلى الأفضل. فيه طرف ثان للتواصل الاجتماعي مثل ""إنستجرام"" و ""تويتر"" و ""سنابتشات""، هذه البرامج يستخدمونها ليتواصلوا مع أصدقائهم وأحبائهم وممكن أن يرسلوا صورا أو فيديو لبعضهم ليعرفوا أخبار بعض. هذا الشيء جيد إذا استخدموه بالطريقة الصحيحة وإذا استخدموه بطريقة خاطئة سيفسد المجتمع بشكل كبير وخاطئ.",A2,150
